srr,timestamp,raw_read_pairs,trim_surviving_pairs,trim_retained_pct,fastqc_raw_R1,fastqc_raw_R2,fastqc_trimmed_R1,fastqc_trimmed_R2,salmon_mapping_rate_pct,salmon_num_transcripts,salmon_num_processed,salmon_num_mapped,trim_verdict,salmon_verdict,overall_verdict
SRR36692421,2026-03-19T00:56:27.906647,27691673,26943376,97.3,FAIL,FAIL,FAIL,FAIL,92.96,194142,26943376,25046354,PASS,PASS,PASS
SRR36692422,2026-03-19T01:47:46.640907,30813475,29924693,97.12,FAIL,FAIL,FAIL,FAIL,93.25,194142,29924693,27905937,PASS,PASS,PASS
SRR36692423,2026-03-19T06:57:07.579496,36318226,35279876,97.14,FAIL,FAIL,FAIL,FAIL,93.3,194142,35279876,32916475,PASS,PASS,PASS
SRR36692424,2026-03-19T10:10:32.490131,30623128,29671249,96.89,FAIL,FAIL,FAIL,FAIL,88.33,194142,29671249,26208032,PASS,PASS,PASS
SRR36692425,2026-03-19T08:31:25.610584,26339331,25566307,97.07,FAIL,FAIL,FAIL,FAIL,87.76,194142,25566307,22438011,PASS,PASS,PASS
SRR36692426,2026-03-19T09:18:50.777304,26140873,25391088,97.13,FAIL,FAIL,FAIL,FAIL,88.39,194142,25391088,22442593,PASS,PASS,PASS
SRR36692427,2026-03-19T11:14:48.513192,29807185,28938002,97.08,FAIL,FAIL,FAIL,FAIL,91.74,194142,28938002,26547182,PASS,PASS,PASS
SRR36692428,2026-03-19T12:14:38.495765,32487591,31531586,97.06,FAIL,FAIL,FAIL,FAIL,91.24,194142,31531586,28768411,PASS,PASS,PASS
SRR36692429,2026-03-19T13:39:25.995623,23711444,23052003,97.22,FAIL,FAIL,FAIL,FAIL,91.94,194142,23052003,21194174,PASS,PASS,PASS
SRR36692430,2026-03-19T14:34:24.694824,34397378,33267582,96.72,FAIL,FAIL,FAIL,FAIL,93.2,194142,33267582,31004600,PASS,PASS,PASS
SRR36692431,2026-03-19T15:32:16.813704,22751453,22089993,97.09,FAIL,FAIL,FAIL,FAIL,93.2,194142,22089993,20586824,PASS,PASS,PASS
SRR36692432,2026-03-19T16:39:47.016380,30124495,29206638,96.95,FAIL,FAIL,FAIL,FAIL,93.04,194142,29206638,27172596,PASS,PASS,PASS
SRR36692433,2026-03-19T17:54:40.149434,31580498,30611103,96.93,FAIL,FAIL,FAIL,FAIL,90.57,194142,30611103,27724088,PASS,PASS,PASS
SRR36692434,2026-03-19T19:42:15.865916,33212883,31988335,96.31,FAIL,FAIL,FAIL,FAIL,90.38,194142,31988335,28911090,PASS,PASS,PASS
SRR36692449,2026-03-19T17:57:46.324782,35196230,34122984,96.95,FAIL,FAIL,FAIL,FAIL,91.71,194142,34122984,31295226,PASS,PASS,PASS
SRR36692450,2026-03-19T19:28:45.504106,34910741,33936605,97.21,FAIL,FAIL,FAIL,FAIL,91.77,194142,33936605,31143084,PASS,PASS,PASS
SRR36692464,2026-03-19T16:40:14.746248,28187269,27390574,97.17,FAIL,FAIL,FAIL,FAIL,87.93,194142,27390574,24083764,PASS,PASS,PASS
SRR36692465,2026-03-19T17:30:45.332653,27102333,26297702,97.03,FAIL,FAIL,FAIL,FAIL,87.69,194142,26297702,23060110,PASS,PASS,PASS
SRR36692466,2026-03-19T19:28:39.668163,33840351,32806982,96.95,FAIL,FAIL,FAIL,FAIL,90.95,194142,32806982,29837413,PASS,PASS,PASS
